Дата;Процент попадания данных из источника 1 в итоговый отчет;Процент попадания данных из источника 2 в итоговый отчет;Процент попадания данных из источника 3 в итоговый отчет;Процент попадания данных из хотя бы одного источника данных в итоговый отчет;Среднее количество записей из источника 1, попавшее в отчет (только для отчетов с данными из источника 1);Среднее количество записей из источника 2, попавшее в отчет (только для отчетов с данными из источника 2);Среднее количество записей из источника 3, попавшее в отчет (только для отчетов с данными из источника 3);Среднее количество записей из любого источника, попавших в отчет (только для отчетов с данными хотя бы из одного источника)
27.01.2025;29,8;44,2;5,9;54,1;1,326;1,548;1,259;2,135
28.01.2025;30,9;44,9;6,2;54,9;1,356;1,56;1,216;2,177
29.01.2025;30,6;45,6;5,7;55,3;1,348;1,57;1,207;2,166
30.01.2025;31,1;45,3;5,9;55,9;1,346;1,543;1,227;2,132
31.01.2025;31,5;45,4;6,2;55,8;1,321;1,552;1,254;2,147
01.02.2025;30,2;45,2;6;55,1;1,353;1,545;1,209;2,14
02.02.2025;30,6;45,8;5,9;55,7;1,318;1,542;1,236;2,122
03.02.2025;30,7;44,7;5,8;55;1,34;1,541;1,239;2,132
04.02.2025;30,1;44,6;5,9;54,3;1,365;1,552;1,209;2,165
05.02.2025;30,5;44,8;5,7;54,7;1,367;1,578;1,263;2,188
06.02.2025;30;46,1;5,8;56,1;1,346;1,553;1,219;2,124
07.02.2025;30,6;45,3;5,5;55,3;1,346;1,548;1,211;2,135
08.02.2025;30,6;45,8;6;55,7;1,352;1,592;1,233;2,182
09.02.2025;30,2;46;5,9;55,6;1,354;1,572;1,234;2,167
10.02.2025;30,4;44,7;6,1;54,8;1,36;1,576;1,225;2,172
11.02.2025;30,4;45,2;6,1;55,7;1,351;1,572;1,231;2,147
12.02.2025;30,3;45,4;6,2;55,4;1,347;1,559;1,202;2,151
13.02.2025;23,1;31,5;5,9;42,5;1,303;1,45;1,248;1,959
14.02.2025;19,4;27,1;6;37,8;1,279;1,373;1,203;1,829
15.02.2025;19,7;26,3;6,1;37,2;1,261;1,347;1,202;1,814
16.02.2025;18,7;26;6,3;36,7;1,29;1,372;1,253;1,843
17.02.2025;19,6;26,3;6,2;37,3;1,264;1,371;1,209;1,83
18.02.2025;19,8;25,7;5,7;37,1;1,264;1,35;1,255;1,799
19.02.2025;19,4;26,4;5,7;36,8;1,272;1,338;1,28;1,829
20.02.2025;23,7;33,9;5,9;44,3;1,301;1,481;1,232;1,995
21.02.2025;31,4;46,5;6,1;56,3;1,337;1,574;1,237;2,176
22.02.2025;31;45,8;6;55,9;1,364;1,564;1,21;2,168
23.02.2025;30,9;45,6;5,8;55,6;1,358;1,59;1,266;2,188
24.02.2025;31;45,5;6;55,7;1,379;1,572;1,199;2,182
25.02.2025;31,1;45,7;5,8;55,8;1,346;1,572;1,238;2,167
26.02.2025;30,4;44,5;6,1;54,9;1,333;1,581;1,231;2,154
27.02.2025;30,2;44,9;5,8;54,8;1,329;1,572;1,248;2,153
28.02.2025;30,3;44,6;5,5;54,2;1,328;1,59;1,229;2,178
01.03.2025;30,3;45,2;6;54,5;1,356;1,587;1,207;2,204
02.03.2025;29,5;44,1;6,1;53,6;1,345;1,581;1,253;2,183
03.03.2025;29,6;42,9;5,5;52,5;1,342;1,582;1,24;2,179
04.03.2025;29,7;43,2;5,5;52,8;1,341;1,563;1,231;2,16
05.03.2025;29,2;43,3;6,1;52,8;1,346;1,568;1,228;2,173
06.03.2025;29;41,8;5,7;51,9;1,35;1,573;1,238;2,16
07.03.2025;29,8;42,9;5,9;52,7;1,36;1,576;1,22;2,19
08.03.2025;29;42,6;6;52,1;1,327;1,537;1,263;2,139
09.03.2025;28,4;41,4;5,5;51,2;1,329;1,55;1,207;2,124
10.03.2025;28,6;41,7;5,6;51,2;1,34;1,561;1,172;2,149
11.03.2025;28,9;42,2;6;51,5;1,348;1,537;1,201;2,152
12.03.2025;27,7;41;5,9;50,5;1,341;1,556;1,221;2,14
13.03.2025;28,6;42;5,6;51,4;1,362;1,552;1,189;2,155
14.03.2025;28,9;43,1;5,9;52,3;1,37;1,557;1,207;2,177
15.03.2025;27,1;40,6;6,3;50,3;1,347;1,553;1,204;2,132
16.03.2025;27,5;41,1;5,6;50,2;1,359;1,539;1,205;2,139
17.03.2025;27,2;40,1;5,7;49,3;1,343;1,521;1,197;2,115
18.03.2025;26,9;39,4;5,5;48,7;1,346;1,521;1,217;2,112
19.03.2025;25,7;38,4;5,9;47,6;1,346;1,509;1,236;2,1
20.03.2025;26,7;39,7;5,9;48,9;1,334;1,498;1,199;2,089
21.03.2025;27;40;5,7;49,2;1,316;1,512;1,196;2,091
22.03.2025;27,7;40,3;5,3;49,8;1,316;1,479;1,227;2,059
23.03.2025;28,4;41,8;5,6;51,5;1,336;1,524;1,235;2,105
24.03.2025;27,7;40,9;5,9;51,1;1,35;1,521;1,224;2,088
25.03.2025;28,2;42,4;5,6;52,5;1,342;1,507;1,207;2,069
26.03.2025;28,7;42,3;5,5;52,5;1,326;1,498;1,231;2,06
27.03.2025;29;42,4;5,5;52,4;1,324;1,493;1,218;2,071
28.03.2025;29,6;43,8;5,6;53,9;1,341;1,526;1,209;2,103
29.03.2025;29,8;43,2;5;53,3;1,342;1,534;1,255;2,11
30.03.2025;29,4;43,9;5,4;53,3;1,335;1,543;1,187;2,129
31.03.2025;28,9;43,1;5,7;52,8;1,336;1,513;1,203;2,096
01.04.2025;29,5;43,4;5,1;53,4;1,314;1,52;1,223;2,08
02.04.2025;29,5;43,9;5,5;53,8;1,33;1,51;1,246;2,09
03.04.2025;29;43,7;5,4;53,4;1,339;1,5;1,193;2,076
04.04.2025;29,7;44,2;5,5;53,6;1,334;1,533;1,24;2,131
05.04.2025;30,1;44,6;5,6;54;1,342;1,552;1,179;2,153
06.04.2025;29,3;45,5;5,5;54,8;1,335;1,515;1,218;2,097
07.04.2025;29,5;43,6;5,1;53,3;1,34;1,515;1,211;2,099
08.04.2025;29;43,4;5,5;52,8;1,336;1,518;1,23;2,11
09.04.2025;29,1;43,1;5,4;52,6;1,316;1,513;1,194;2,092
10.04.2025;29;44,4;5,5;53,8;1,329;1,517;1,184;2,09
11.04.2025;29,2;43,9;5,3;53,3;1,319;1,532;1,216;2,108
12.04.2025;29,8;45;5,5;54,4;1,351;1,563;1,233;2,155
13.04.2025;29,7;44,6;5,3;54,1;1,332;1,541;1,227;2,123
14.04.2025;29;43,6;5,6;53,6;1,309;1,536;1,248;2,087
15.04.2025;28,6;43,5;5,3;52,8;1,321;1,527;1,189;2,091
16.04.2025;28,5;44;5,8;53,2;1,348;1,56;1,206;2,145
17.04.2025;28,2;43,7;5,4;52,8;1,342;1,534;1,247;2,115
18.04.2025;29,7;44,6;5,1;54,1;1,343;1,517;1,181;2,1
19.04.2025;29,1;44,4;4,9;53,9;1,32;1,504;1,206;2,064
20.04.2025;28,7;44,9;4,9;53,8;1,315;1,522;1,235;2,086
21.04.2025;28,5;44,1;5;53,2;1,339;1,52;1,273;2,099
22.04.2025;29,8;43,9;5,2;53,4;1,354;1,527;1,178;2,125
23.04.2025;29;44,6;4,9;53,5;1,349;1,535;1,209;2,122
24.04.2025;29,3;44,3;5;53,4;1,34;1,54;1,208;2,124
25.04.2025;29,4;44,3;5,2;53,9;1,326;1,534;1,195;2,1
26.04.2025;28,7;44,8;5,3;53,9;1,354;1,537;1,19;2,113
27.04.2025;29,5;45;5,1;54,4;1,32;1,532;1,21;2,1
28.04.2025;29,1;44,5;4,9;53,8;1,347;1,526;1,24;2,107
29.04.2025;29,5;44,5;5,2;53,9;1,344;1,5;1,239;2,094
30.04.2025;28,7;44,7;4,9;53,6;1,348;1,516;1,214;2,098
01.05.2025;29,2;44,4;5,3;53,8;1,329;1,531;1,23;2,107
02.05.2025;29,1;45,2;5,4;54,5;1,348;1,533;1,243;2,115
03.05.2025;28,9;44,9;5,5;54;1,319;1,521;1,213;2,093
04.05.2025;29,2;45,1;5,3;54,1;1,364;1,559;1,185;2,152
05.05.2025;28,8;44,3;5,1;53,5;1,358;1,552;1,213;2,131
06.05.2025;28,7;44,4;4,8;53,1;1,333;1,51;1,224;2,093
07.05.2025;29,3;44,9;5,4;54,1;1,322;1,538;1,177;2,108
08.05.2025;29,7;45,5;5,5;54,7;1,342;1,56;1,191;2,146
09.05.2025;30,8;46,4;5,5;55,8;1,327;1,531;1,225;2,126
10.05.2025;29,5;45,6;5,5;54,5;1,309;1,518;1,211;2,101
11.05.2025;29,6;46,1;5,5;55,1;1,343;1,564;1,216;2,154
12.05.2025;28,9;44,3;5,2;53,7;1,341;1,529;1,225;2,102
13.05.2025;28,2;44,2;5,6;53,3;1,323;1,537;1,214;2,104
14.05.2025;28,4;44,2;5,2;53;1,335;1,542;1,21;2,12
15.05.2025;28,7;44,2;5,1;53,5;1,327;1,519;1,291;2,093
